Date,Open,High,Low,Close,Adj Close,Volume
01-02-2016,24.1175,24.7225,23.147499,24.172501,22.229595,3243450400
01-03-2016,24.4125,27.605,24.355,27.247499,25.193405,2984198400
01-04-2016,27.195,28.0975,23.127501,23.434999,21.668314,3489534800
01-05-2016,23.4925,25.182501,22.3675,24.965,23.082973,3602686000
01-06-2016,24.754999,25.4725,22.875,23.9,22.232805,3117990800
01-07-2016,23.872499,26.137501,23.592501,26.0525,24.235153,2743118400
01-08-2016,26.102501,27.557501,26,26.525,24.674686,2520514000
01-09-2016,26.535,29.045,25.6325,28.262501,26.433413,3872062400
01-10-2016,28.1775,29.672501,28.07,28.385,26.547981,2747657200
01-11-2016,28.365,28.442499,26.02,27.629999,25.841845,2886220000
01-12-2016,27.592501,29.504999,27.0625,28.955,27.220129,2435086800
01-01-2017,28.950001,30.610001,28.690001,30.3375,28.519804,2252488000
01-02-2017,31.7575,34.369999,31.752501,34.247501,32.195526,2299874400
01-03-2017,34.4725,36.125,34.262501,35.915001,33.909504,2246513600
01-04-2017,35.927502,36.365002,35.014999,35.912498,33.907135,1493216400
01-05-2017,36.275002,39.162498,36.067501,38.189999,36.057453,2615927200
01-06-2017,38.2925,38.994999,35.549999,36.005001,34.134796,2736712400
01-07-2017,36.220001,38.497501,35.602501,37.182499,35.251129,1688047600
01-08-2017,37.275002,41.130001,37.102501,41,38.870335,2644276000
01-09-2017,41.200001,41.235001,37.290001,38.529999,36.672085,2721496400
01-10-2017,38.564999,42.412498,38.115002,42.259998,40.222221,2017165200
01-11-2017,42.467499,44.060001,41.32,42.962502,40.89085,2402653600
01-12-2017,42.487499,44.299999,41.615002,42.307499,40.412182,2124735200
01-01-2018,42.540001,45.025002,41.174999,41.857498,39.982353,2638717600
01-02-2018,41.7925,45.154999,37.560001,44.529999,42.53513,3711577200
01-03-2018,44.634998,45.875,41.235001,41.945,40.229279,2854910800
01-04-2018,41.66,44.735001,40.157501,41.314999,39.62505,2664617200
01-05-2018,41.602501,47.592499,41.317501,46.717499,44.806568,2483905200
01-06-2018,46.997501,48.549999,45.182499,46.2775,44.555721,2110498000
01-07-2018,45.955002,48.990002,45.855,47.572498,45.802532,1574765600
01-08-2018,49.782501,57.217499,49.327499,56.907501,54.790226,2801275600
01-09-2018,57.102501,57.4175,53.825001,56.435001,54.52586,2715888000
01-10-2018,56.987499,58.3675,51.522499,54.715,52.864052,3158994000
01-11-2018,54.762501,55.59,42.564999,44.645,43.134705,3845305600
01-12-2018,46.115002,46.235001,36.647499,39.435001,38.233891,3595690000
01-01-2019,38.7225,42.25,35.5,41.610001,40.342648,3312349600
01-02-2019,41.740002,43.967499,41.482498,43.287498,41.969059,1890162400
01-03-2019,43.57,49.422501,42.375,47.487499,46.238594,2603925600
01-04-2019,47.91,52.119999,47.095001,50.1675,48.848106,2024470800
01-05-2019,52.470001,53.827499,43.747501,43.767502,42.616432,2957826400
01-06-2019,43.900002,50.392502,42.567501,49.48,48.364223,2060874800
01-07-2019,50.7925,55.342499,49.602501,53.259998,52.05899,1895406800
01-08-2019,53.474998,54.5075,48.145,52.185001,51.008228,2724326400
01-09-2019,51.607498,56.605,51.055,55.9925,54.937817,2170268400
01-10-2019,56.267502,62.4375,53.782501,62.189999,61.018581,2433210800
01-11-2019,62.384998,67,62.290001,66.8125,65.553993,1793326000
01-12-2019,66.817497,73.4925,64.072502,73.412498,72.245941,2388794800
01-01-2020,74.059998,81.962502,73.1875,77.377502,76.147942,2934370400
01-02-2020,76.074997,81.805,64.092499,68.339996,67.254028,3019279200
01-03-2020,70.57,76,53.1525,63.572498,62.710785,6280072400
01-04-2020,61.625,73.6325,59.224998,73.449997,72.454399,3265299200
01-05-2020,71.5625,81.059998,71.462502,79.485001,78.407585,2805936000
01-06-2020,79.4375,93.095001,79.302498,91.199997,90.207329,3243375600
01-07-2020,91.279999,106.415001,89.144997,106.260002,105.103409,3020283200
01-08-2020,108.199997,131,107.892502,129.039993,127.635437,4070061100
01-09-2020,132.759995,137.979996,103.099998,115.809998,114.755989,3885245100
01-10-2020,117.639999,125.389999,107.720001,108.860001,107.86924,2894666500
01-11-2020,109.110001,121.989998,107.32,119.050003,117.966499,2123077300
01-12-2020,121.010002,138.789993,120.010002,132.690002,131.709198,2322189600
01-01-2021,133.520004,145.089996,126.379997,131.960007,130.984619,2240262000
01-02-2021,133.75,137.880005,118.389999,121.260002,120.363686,1833855600
01-03-2021,123.75,128.720001,116.209999,122.150002,121.428291,2650418200
01-04-2021,123.660004,137.070007,122.489998,131.460007,130.683289,1889857500
01-05-2021,132.039993,134.070007,122.25,124.610001,123.873749,1711934900
01-06-2021,125.080002,137.410004,123.129997,136.960007,136.382065,1606590000
01-07-2021,136.600006,150,135.759995,145.860001,145.244492,1919035100
01-08-2021,146.360001,153.490005,144.5,151.830002,151.189301,1461542800
01-09-2021,152.830002,157.259995,141.270004,141.5,141.113998,1797835100
01-10-2021,141.899994,153.169998,138.270004,149.800003,149.391357,1565079200
01-11-2021,148.990005,165.699997,147.479996,165.300003,164.849091,1691029000
01-12-2021,167.479996,182.130005,157.800003,177.570007,177.344055,2444766700
01-01-2022,177.830002,182.940002,154.699997,174.779999,174.557602,2108446000
01-02-2022,174.009995,176.649994,152,165.119995,164.909897,1627328800
01-03-2022,164.699997,168.910004,150.100006,165.380005,165.380005,1443500500
22-03-2022,165.509995,169.419998,164.910004,168.820007,168.820007,81532007
