Date,instrument_symbol,Open,High,Low,Close,Adj Close,Volume
10/1/2014,VT,60.08000183,60.99000168,55.77000046,60.95000076,51.61493301,11440800
11/1/2014,VT,60.88999939,62.11999893,60.15999985,61.72000122,52.26701355,6429700
12/1/2014,VT,61.54000092,62,58.13999939,60.11999893,50.91205978,12610300
1/1/2015,VT,60.15999985,60.72999954,58.00999832,59.13999939,50.39603806,10092200
2/1/2015,VT,59.52000046,62.90000153,59.09000015,62.65999985,53.39559174,7004600
3/1/2015,VT,62.70999908,63.16999817,60.38999939,61.59000015,52.48379898,7976700
4/1/2015,VT,61.79000092,64.44000244,61.22999954,63.15999985,54.09209061,6947400
5/1/2015,VT,63.54999924,64.58999634,62.59999847,63.36999893,54.27193451,6004400
6/1/2015,VT,63.65000153,64.12999725,61.24000168,61.52000046,52.68754196,9658300
7/1/2015,VT,62.33000183,62.81000137,59.86000061,61.83000183,53.33436584,12632900
8/1/2015,VT,61.84999847,62.11000061,53.09999847,57.72999954,49.7977066,19873800
9/1/2015,VT,57.15999985,59.09000015,54.04999924,55.31000137,47.71022415,11646600
10/1/2015,VT,55.75,59.97999954,54.95000076,59.34000015,51.44349289,11352900
11/1/2015,VT,59.56999969,60.45999908,57.66999817,59.29000092,51.40013504,10651300
12/1/2015,VT,59.52000046,59.93000031,56.34999847,57.61999893,49.95236588,29610100
1/1/2016,VT,56.59000015,56.75,50.41999817,54.24000168,47.32824326,27634400
2/1/2016,VT,53.90999985,54.49000168,50.34000015,53.63999939,46.80470276,27185100
3/1/2016,VT,54.20000076,57.97000122,54.09999847,57.68999863,50.33861542,19906000
4/1/2016,VT,57,59.56000137,56.22000122,58.27000046,51.04427719,14559600
5/1/2016,VT,58.45000076,58.93999863,56.63999939,58.65000153,51.37714767,7907500
6/1/2016,VT,58.45999908,60,54.75,58.06999969,50.86907578,18085300
7/1/2016,VT,58.11999893,60.54999924,56.93000031,60.47999954,53.41032028,10151800
8/1/2016,VT,60.40999985,61.58000183,59.61000061,60.68999863,53.59576416,12168400
9/1/2016,VT,60.79999924,61.99000168,59.18999863,60.84999847,53.73706818,11550600
10/1/2016,VT,60.68999863,60.97999954,59.08000183,59.65000153,52.9478569,12886300
11/1/2016,VT,59.77000046,60.70999908,58.40000153,60.36000061,53.57808685,13366800
12/1/2016,VT,60.36000061,62.61000061,59.97000122,61,54.14618683,26900200
1/1/2017,VT,61.45000076,63.38999939,61.24000168,62.83000183,56.18638611,12636500
2/1/2017,VT,63.06999969,65.19000244,62.74000168,64.51999664,57.69768143,21832600
3/1/2017,VT,65.04000092,65.95999908,64.23999786,65.22000122,58.32366562,23085000
4/1/2017,VT,65.29000092,66.62000275,64.47000122,66.27999878,59.50115967,13028000
5/1/2017,VT,66.47000122,67.84999847,66.09999847,67.56999969,60.65923691,18571400
6/1/2017,VT,67.58000183,68.62000275,67.01999664,67.52999878,60.62331772,24392400
7/1/2017,VT,67.76999664,69.61000061,67.01999664,69.31999969,62.66016769,11476600
8/1/2017,VT,69.68000031,69.91000366,68.16000366,69.61000061,62.92230606,16977700
9/1/2017,VT,69.83000183,71.09999847,69.01999664,70.72000122,63.92565536,16368000
10/1/2017,VT,70.70999908,72.29000092,70.65000153,72.20999908,65.60211182,13943900
11/1/2017,VT,72.5,73.83000183,71.33000183,73.58000183,66.84671783,15100300
12/1/2017,VT,73.5,74.69999695,72.66999817,74.26000214,67.46453094,18062200
1/1/2018,VT,74.55000305,79.73999786,74.51000214,78.33000183,71.63475037,27138800
2/1/2018,VT,78.08000183,78.55000305,70.55999756,74.84999847,68.45220947,53242200
3/1/2018,VT,74.83000183,76.98000336,72.25,73.62999725,67.33650208,25067400
4/1/2018,VT,73.38999939,75.55000305,71.59999847,73.94000244,67.86123657,22642200
5/1/2018,VT,73.88999939,76.05999756,72.73999786,74.36000061,68.2467041,18385600
6/1/2018,VT,74.84999847,76.36000061,72.38999939,73.37000275,67.33809662,24950900
7/1/2018,VT,72.65000153,76.05000305,72.55000305,75.48000336,69.79133606,19171300
8/1/2018,VT,75.43000031,76.83000183,73.29000092,76.12999725,70.39234161,35475800
9/1/2018,VT,75.65000153,76.97000122,74.36000061,75.83000183,70.11496735,28486600
10/1/2018,VT,76.26000214,76.31999969,67.48000336,69.90000153,64.93901062,58978200
11/1/2018,VT,70.41000366,72.65000153,68.37999725,71.11000061,66.0631485,48684500
12/1/2018,VT,72.36000061,72.37999725,62.13999939,65.45999908,60.81412888,104539900
1/1/2019,VT,64.51999664,70.87000275,64.19999695,70.69000244,66.17853546,64270200
2/1/2019,VT,70.76999664,73.31999969,69.88999939,72.68000031,68.04151154,53058200
3/1/2019,VT,73.09999847,74.30999756,71.08000183,73.16999817,68.50024414,65571400
4/1/2019,VT,73.76000214,75.76999664,73.76000214,75.70999908,71.15309143,36114300
5/1/2019,VT,75.91000366,75.98999786,70.91999817,71.19000244,66.90514374,51576200
6/1/2019,VT,71.33999634,75.56999969,71.01000214,75.16000366,70.63617706,39545700
7/1/2019,VT,76.01999664,76.54000092,74.58000183,75.16000366,71.16702271,31608300
8/1/2019,VT,75.30000305,75.91000366,71.19000244,73.58000183,69.67097473,45599400
9/1/2019,VT,73.05999756,76.44000244,72.81999969,74.81999969,70.8451004,32674800
10/1/2019,VT,74.94000244,77.22000122,72.25,76.91000366,73.24460602,45699200
11/1/2019,VT,77.33000183,79.38999939,77.33000183,78.87999725,75.12069702,25999700
12/1/2019,VT,78.90000153,81.41000366,77.30999756,80.98999786,77.1301651,37902000
1/1/2020,VT,81.43000031,83.08000183,79.41000366,79.73000336,76.50540161,44495500
